Gen;BOKU_1;BOKU_2;BOKU_3;BOKU_4;SKG-I_1;SKG-I_2;SKG-I_3;SKG-I_4
187;715,84250;943,00750;649,10480;653,30190;488,90320;385,94760;310,37640;280,27090
188;22,12851;8,04700;26,99249;44,42542;70,72487;88,18758;391,18950;375,63720
189;5,84811;2,67913;5,57925;1,91732;985,19980;837,22910;775,69210;713,85820
190;1.456,83500;1.509,08200;1.228,16400;1.160,85300;1.346,61000;1.645,57100;1.826,47000;1.581,44900
191;90,91598;126,03770;70,68243;43,30132;29,53560;64,99909;69,89686;74,57545
192;12,84585;61,61587;55,52410;48,19348;7,88976;31,34557;59,29545;34,32382
193;53,03526;79,07695;62,25843;61,37153;69,27696;58,00847;60,19775;64,76652
194;655,07370;661,62600;457,00150;369,30150;383,52850;298,58180;188,34360;197,31430
195;53,37195;45,68328;55,29788;79,35617;130,77060;67,50333;134,66990;103,39310
196;31.074,40000;37.931,71000;26.032,20000;34.345,05000;27.318,26000;27.794,70000;27.770,94000;24.941,94000
197;610,79320;605,96980;975,60710;900,53820;623,96770;595,18870;751,61300;774,99700
198;25,23163;52,40163;24,97809;31,52036;23,29257;32,54039;2,23195;14,93368
199;777,03560;828,18460;1.060,15600;1.227,63900;204,33530;258,75930;324,08790;283,54430
200;178,01050;190,25010;685,96000;625,75270;579,66930;593,33930;779,37780;851,23210
201;3.602,71200;3.842,89800;2.785,60600;2.851,27600;3.497,54900;3.536,03900;2.991,85600;3.103,32800
202;26,82172;13,75645;3,96447;2,87376;2,33335;7,53557;10,57515;2,06551
203;32,76337;49,52073;48,87118;71,81139;72,89375;34,83957;82,44176;54,09669
204;56,70485;70,23100;17,80104;61,09838;45,98826;31,20138;32,23662;28,08019
205;1.077,67400;1.109,00800;1.011,71200;1.065,28900;1.763,44300;1.908,89600;1.955,12800;1.989,71200
206;2.436,36500;2.979,57700;2.694,78400;3.028,03400;2.556,48500;2.623,21000;2.404,42300;2.408,53600
207;71,12759;123,83750;350,73960;293,26200;415,82730;326,77620;675,79820;698,53310
208;79,54969;56,64233;45,34445;40,90265;59,19378;71,95803;47,38185;56,99136
209;13,75964;3,95041;32,22412;14,87508;39,79271;26,86018;22,91939;28,88461
210;402,34580;404,78710;1.003,69800;910,47680;2.329,36000;2.328,12700;2.255,41300;2.419,22500
211;405,47660;669,44540;546,93120;799,90720;300,69860;242,28660;252,55190;287,05510
212;30,86499;149,53080;110,34020;143,59420;14,89445;123,69710;129,55660;75,57316
213;10,09080;11,09092;7,38172;37,24251;28,24382;48,65040;20,27866;45,73297
214;13,55102;11,10112;6,45703;10,77115;6,07422;6,35270;3,22919;7,00077
215;31,80922;17,63007;94,93695;66,63834;40,31599;60,82740;58,07956;83,17872
216;71,49405;41,84417;67,88932;95,73808;26,55669;53,30155;60,61933;28,20770
217;788,71250;690,72240;842,43620;947,83380;481,83480;487,87350;460,90130;424,43230
218;201,29280;223,45660;225,21710;202,45590;37,45208;42,87634;190,79730;142,63690
219;36,85839;11,78065;38,03806;16,13503;8,10624;17,52862;23,57501;19,76124
220;140,43790;52,57273;240,78680;155,86970;111,94730;143,30010;66,17987;84,39880
221;9,10614;8,50362;8,66865;8,71630;7,39275;10,32309;11,60730;8,85860
222;578,30760;601,24400;837,23100;682,02000;363,29360;371,59590;277,90620;200,46290
223;3,23607;3,79266;4,78240;8,08947;3,44475;2,86751;4,34126;3,10144
224;288,87730;379,30050;529,74600;483,05060;545,90680;551,69290;1.152,94300;1.256,60700
225;5,60747;13,61203;9,18380;5,58545;28,58614;31,50735;13,16461;2,57163
226;29,96027;29,25809;213,65300;157,00290;375,07690;284,26270;3.399,49700;3.570,28700
227;909,99970;1.010,72100;519,07730;536,65240;23,94602;35,75291;31,98692;20,15136
228;185,88650;210,24260;176,94040;140,13770;484,62610;604,88610;387,01900;312,48740
229;42,98993;16,14142;5,29371;56,08002;36,73246;29,85016;28,23389;33,59135
230;54,80949;14,85347;60,01194;59,37371;71,94297;37,62032;94,87153;102,74200
231;616,31200;644,75420;595,84160;615,53640;990,72560;1.037,77500;595,11970;661,16500
232;36,09733;24,61293;40,44441;46,28297;64,62797;13,58457;42,15174;51,83069
233;7,92373;104,93000;17,22069;18,51204;11,40981;22,99200;11,84010;9,55509
234;132,84650;178,44430;106,80460;109,86720;133,45860;156,03580;76,35748;89,64626
235;436,92170;445,71550;334,20580;370,56940;479,59510;472,43650;430,68210;431,63300
236;32,66452;23,18728;30,31992;7,88390;40,40785;32,89679;20,64613;6,80712
237;3,77952;5,21162;1,75191;4,88359;48,26959;3,56914;20,79492;10,71068
238;32,79893;58,06688;42,15784;49,28451;38,48984;48,16738;66,31309;72,59787
239;11.591,84000;12.809,34000;11.239,65000;12.932,27000;14.675,62000;16.137,75000;14.977,12000;15.478,64000
240;13,01027;26,95899;4,73754;17,56051;7,65962;3,74546;26,61503;21,55288
241;41,76792;21,16148;145,79730;169,31700;30,08922;7,28372;61,22475;52,84556
242;221,98850;288,44010;358,93280;436,16140;641,93150;563,87810;495,94950;503,76400
243;329,93220;291,00200;263,30310;302,06140;367,20430;376,95360;226,24240;355,19290
244;903,70290;867,79100;619,82470;585,10480;679,67600;637,99070;611,34660;694,05550
